item_id,category,title,scientific_basis,keywords,related_data_fields,warning_indicators,adaptive_actions
KNOW_aeb618bc,热浪火灾风险联动,高温低湿下的火灾风险预警,Present_Tmax≥36℃+LDAPS_RHmin≤30%+LDAPS_WS≥2.5m/s 时，植被、建筑材料含水量极低，易引发森林或城市火灾，且火势蔓延速度快,"易引发森林或城市火灾, 建筑材料含水量极低, LDAPS_WS, 易燃易爆仓库周边, 36℃, 应对措施, 定位林区, 热浪火灾风险联动, 发布火灾风险橙色预警, 植被, 类别, 开展重点区域可燃物清理, LDAPS_RHmin, 预警指标, 禁止野外用火, 且火势蔓延速度快, Present_Tmax, 通过, 标题, 组织消防力量前置部署, 高温低湿下的火灾风险预警, 科学依据, 30%","Present_Tmax, LDAPS_RHmin, LDAPS_WS, lat, lon",Present_Tmax≥36℃+LDAPS_RHmin≤30%+LDAPS_WS≥2.5m/s；通过 lat/lon 定位林区、易燃易爆仓库周边,发布火灾风险橙色预警，禁止野外用火，组织消防力量前置部署，开展重点区域可燃物清理
KNOW_d6ef5df2,跨区域热浪传播预警,基于经纬度的热浪移动路径预警,热浪具有显著的区域传播特征，通过 lat/lon 追踪高温中心移动轨迹，结合 Next_Tmax 可预判下游区域热浪到达时间，提前预留防护窗口期,"网格扩展, 应对措施, 热浪具有显著的区域传播特征, 标签激活区域向相邻, 类别, 跨区域热浪传播预警, 小时内高温覆盖范围, 预警指标, 追踪高温中心移动轨迹, 调度降温物资跨区域调配, 预判, 可预判下游区域热浪到达时间, 基于经纬度的热浪移动路径预警, 组织基层防护人员培训, 提前预留防护窗口期, 通过, 标题, 结合, 35℃, 科学依据, Next_Tmax, 向下游预判区域提前发布热浪预警","Next_Tmax, lat, lon, heatwave",heatwave 标签激活区域向相邻 lat/lon 网格扩展 + Next_Tmax≥35℃；预判 24-48 小时内高温覆盖范围,向下游预判区域提前发布热浪预警，调度降温物资跨区域调配，组织基层防护人员培训
KNOW_10783dc9,24 小时短期热浪脉冲预警,短期极端高温脉冲的紧急响应,Next_Tmax 较 Present_Tmax 骤升≥5℃且达到 37℃以上时，属于短期高温脉冲，人体无法快速适应，热应激疾病发病率短时间内激增,"5℃, 短期极端高温脉冲的紧急响应, 以上时, 定位温度骤升区域, 应对措施, 37℃, 属于短期高温脉冲, 人体无法快速适应, 类别, 要求企事业单位立即调整户外作业计划, 发布短时高温紧急提示, 预警指标, 热应激疾病发病率短时间内激增, 骤升, 且达到, Present_Tmax, 学校暂停当日午后户外活动, 小时短期热浪脉冲预警, 通过, 标题, 科学依据, Next_Tmax","Present_Tmax, Next_Tmax, lat, lon",Next_Tmax - Present_Tmax ≥5℃+Next_Tmax≥37℃；通过 lat/lon 定位温度骤升区域,发布短时高温紧急提示，要求企事业单位立即调整户外作业计划，学校暂停当日午后户外活动
KNOW_637ae7cf,48 小时热浪发展分级,48 小时热浪强度发展趋势预警,基于连续两天的 Next_Tmax 预测，可划分热浪发展阶段，为不同时长的防护预案提供依据，避免应急响应滞后,"发展期储备降温物资, 应对措施, 35%, 37℃, 39℃, 类别, 可划分热浪发展阶段, 暂停非必要户外作业, 小时热浪强度发展趋势预警, LDAPS_RHmin, 预警指标, 为不同时长的防护预案提供依据, 小时热浪发展分级, 基于连续两天的, 峰值期启动一级应急响应, 发展期, 避免应急响应滞后, 峰值期, 标题, 35℃, 科学依据, Next_Tmax, 预测","Next_Tmax（24h）, Next_Tmax（48h）, LDAPS_RHmin",发展期：Next_Tmax（24h）≥35℃+Next_Tmax（48h）≥37℃；峰值期：Next_Tmax（24h）≥37℃+Next_Tmax（48h）≥39℃+LDAPS_RHmin≤35%,发展期储备降温物资；峰值期启动一级应急响应，暂停非必要户外作业
KNOW_88d22a85,热浪水资源协同预警,高温热浪与水资源短缺联动防护,Present_Tmax≥35℃时，居民生活用水、农业灌溉用水需求激增，若区域水资源储备不足，将引发供水紧张与高温缺水双重危机,"高温热浪与水资源短缺联动防护, 指导农业采用滴灌等节水灌溉技术, 居民生活用水, 应对措施, 区域供水缺口, 农业灌溉用水需求激增, 类别, 限制高耗水工业用水, 10%, 若区域水资源储备不足, 预警指标, 优先保障居民饮用水供应, 定位缺水风险较高的城镇, 且连续, 热浪水资源协同预警, 将引发供水紧张与高温缺水双重危机, Present_Tmax, 通过, 标题, 35℃, 科学依据, 实施分时段供水方案","Present_Tmax, lat, lon",Present_Tmax≥35℃且连续≥3 天 + 区域供水缺口≥10%；通过 lat/lon 定位缺水风险较高的城镇,实施分时段供水方案，优先保障居民饮用水供应，指导农业采用滴灌等节水灌溉技术，限制高耗水工业用水
KNOW_7dd51c38,易感人群轨迹关联预警,基于位置轨迹的易感人群精准防护,通过 lat/lon 实时追踪老年人、慢性病患者等易感人群移动轨迹，结合 Present_Tmax 可动态评估其高温暴露风险，实现靶向防护,"调度社区工作人员就近提供帮扶, 实现靶向防护, 易感人群轨迹关联预警, 核心区, 小时, 实时追踪老年人, 易感人群轨迹在户外停留时间, 应对措施, 类别, 慢性病患者等易感人群移动轨迹, 引导其前往就近降温场所, 预警指标, 可动态评估其高温暴露风险, 基于位置轨迹的易感人群精准防护, 或轨迹进入, 向易感人群及其监护人发送风险提示, Present_Tmax, 通过, 标题, 结合, 35℃, 科学依据","Present_Tmax, lat, lon",Present_Tmax≥35℃+ 易感人群轨迹在户外停留时间≥1 小时；或轨迹进入 urban_heat_island 核心区,向易感人群及其监护人发送风险提示，调度社区工作人员就近提供帮扶，引导其前往就近降温场所
KNOW_babcc6ff,高温建筑施工安全,建筑施工领域的热浪安全阈值,Present_Tmax≥36℃时，混凝土水化热加速易导致开裂，同时施工人员在露天高处作业，热应激风险极高，需针对性制定施工规范,"LDAPS_WS, 高温建筑施工安全, 定位在建工地, 极高风险, 36℃, 38℃, 应对措施, 同时施工人员在露天高处作业, 对已浇筑混凝土采取遮阳保湿养护, 常规施工风险, 建筑施工领域的热浪安全阈值, 类别, 需针对性制定施工规范, 热应激风险极高, 预警指标, 露天作业, Present_Tmax, 极高风险时暂停高处, 通过, 标题, 做早歇午, 常规风险时实行, 科学依据, 混凝土水化热加速易导致开裂, 施工制度","Present_Tmax, LDAPS_WS, lat, lon",Present_Tmax≥36℃（常规施工风险）；Present_Tmax≥38℃+LDAPS_WS≤1m/s（极高风险）；通过 lat/lon 定位在建工地,常规风险时实行 “做早歇午” 施工制度；极高风险时暂停高处、露天作业，对已浇筑混凝土采取遮阳保湿养护
KNOW_be5615e4,宠物热浪防护,伴侣动物的热浪热应激预警,宠物（尤其是犬类）散热效率低，Present_Tmax≥32℃时，户外停留 15 分钟以上即可能引发热射病，urban_heat_island 区域沥青路面易烫伤脚掌,"户外停留, 向宠物主人推送高温防护指南, 应对措施, 禁止正午时段遛宠, 宠物热浪防护, 宠物乐园, 公园, 类别, 32℃, 宠物, 尤其是犬类, 定位宠物活动密集区域, 预警指标, 在宠物密集区域设置饮水点与遮阳棚, Present_Tmax, 伴侣动物的热浪热应激预警, 标签激活, 通过, 标题, 科学依据, 分钟以上即可能引发热射病, 区域沥青路面易烫伤脚掌, 散热效率低","Present_Tmax, urban_heat_island, lat, lon",Present_Tmax≥32℃+urban_heat_island 标签激活；通过 lat/lon 定位宠物活动密集区域（公园、宠物乐园）,向宠物主人推送高温防护指南，禁止正午时段遛宠，在宠物密集区域设置饮水点与遮阳棚
KNOW_f355391f,热浪心理健康防护,高温热浪引发的心理健康风险预警,Present_Tmax 连续≥35℃时，人体下丘脑 - 垂体 - 肾上腺轴功能紊乱，易引发焦虑、失眠、情绪易怒等心理问题，LDAPS_RHmin≤35% 时症状加重,"垂体, 失眠, 通过媒体推送高温情绪调节技巧, 应对措施, 35%, 高温热浪引发的心理健康风险预警, 类别, 定位人口密集社区, 易引发焦虑, LDAPS_RHmin, 预警指标, 时症状加重, 热浪心理健康防护, 人体下丘脑, 连续, 肾上腺轴功能紊乱, Present_Tmax, 通过, 标题, 开放心理援助热线, 35℃, 科学依据, 社区开展降温纳凉文体活动, 情绪易怒等心理问题","Present_Tmax, LDAPS_RHmin, lat, lon",Present_Tmax≥35℃连续≥4 天 + LDAPS_RHmin≤35%；通过 lat/lon 定位人口密集社区,开放心理援助热线，社区开展降温纳凉文体活动，通过媒体推送高温情绪调节技巧
KNOW_5b27e9df,综合热应激指数预警,温湿度 - 风速协同热应激指数应用,综合热应激指数（HI）=0.7×Present_Tmax + 0.3×(100-LDAPS_RHmin) - 0.5×LDAPS_WS，HI 值可更全面反映实际热应激风险,"LDAPS_WS, 综合热应激指数预警, 重度风险, 风速协同热应激指数应用, 重度风险时需在降温环境中休息, 应对措施, 类别, 综合热应激指数, 中度风险时减少外出, LDAPS_RHmin, 预警指标, 值可更全面反映实际热应激风险, HI, 轻度不适, 轻度不适时增加室内通风, Present_Tmax, 避免情绪激动, 温湿度, 标题, 中度风险, 科学依据","Present_Tmax, LDAPS_RHmin, LDAPS_WS",HI≥70（轻度不适）；HI≥80（中度风险）；HI≥90（重度风险）,轻度不适时增加室内通风；中度风险时减少外出；重度风险时需在降温环境中休息，避免情绪激动
KNOW_e26b1921,极端高温脉冲预警,单日极端高温脉冲的灾害预警,Present_Tmax 单日较前一日升幅≥6℃且达到 38℃以上时，属于极端高温脉冲，社会各界防护准备时间不足，易引发公共安全事件,"属于极端高温脉冲, 以上时, 极端高温脉冲预警, 易引发公共安全事件, 电力应急供应, 38℃, 应对措施, 保障交通, 单日较前一日升幅, 类别, 单日极端高温脉冲的灾害预警, 临时开放所有公共场馆作为降温点, 预警指标, 6℃, 前一日, 且达到, Present_Tmax, 标签激活, 标题, 启动紧急降温预案, 社会各界防护准备时间不足, 科学依据, 发布突发高温红色预警","Present_Tmax, lat, lon, heatwave",Present_Tmax - 前一日 Present_Tmax ≥6℃+Present_Tmax≥38℃；heatwave 标签激活,发布突发高温红色预警，启动紧急降温预案，临时开放所有公共场馆作为降温点，保障交通、电力应急供应
KNOW_2053f565,热浪饮水安全预警,高温热浪下的饮用水安全保障,Present_Tmax≥35℃时，饮用水储存容器易滋生细菌，管网末梢水余氯含量下降，同时居民饮水量激增，易出现供水水质波动,"水务部门加密水质检测频次, 饮用水储存容器易滋生细菌, 应对措施, 类别, 热浪饮水安全预警, 管网末梢水余氯含量下降, 易出现供水水质波动, 高温热浪下的饮用水安全保障, 预警指标, 对老旧管网进行应急维护, 连续, 向居民推送饮用水储存与消毒指南, 定位老旧供水管网覆盖区域, Present_Tmax, 通过, 标题, 35℃, 科学依据, 同时居民饮水量激增","Present_Tmax, lat, lon",Present_Tmax≥35℃连续≥3 天；通过 lat/lon 定位老旧供水管网覆盖区域,水务部门加密水质检测频次，向居民推送饮用水储存与消毒指南，对老旧管网进行应急维护
KNOW_1f8b5762,养老院专项热浪预案,养老机构的热浪应急防护标准,养老院集中居住大量老年易感人群，Present_Tmax≥33℃时，需启动专项防护，避免群体性热相关疾病发生,"避免群体性热相关疾病发生, 启动, DEM, 应对措施, 高海拔区域, 类别, 养老院集中居住大量老年易感人群, 准备热射病急救设备与药品, 33℃, 预警指标, 平原区域, 小时空调供应, Present_Tmax, 禁止老人自行外出, 标题, 30℃, 每日定时测量老人体温与血压, 科学依据, 养老机构的热浪应急防护标准, 需启动专项防护, 养老院专项热浪预案","Present_Tmax, DEM, lat, lon",平原区域（DEM<800m）：Present_Tmax≥33℃；高海拔区域（DEM≥1500m）：Present_Tmax≥30℃,启动 24 小时空调供应，每日定时测量老人体温与血压，准备热射病急救设备与药品，禁止老人自行外出
KNOW_11bfbf32,电网负荷精细化预测,分时段电网高温负荷预警,Present_Tmax≥35℃时，10:00-12:00、18:00-22:00 为用电高峰，urban_heat_island 区域负荷密度最高，需精准预判避免电网过载,"实施错峰用电政策, 应对措施, 预测高峰时段负荷, 类别, 预警指标, 引导工业用户在高峰时段避峰生产, 区域负荷密度最高, 需精准预判避免电网过载, Present_Tmax, 标签激活, 分时段电网高温负荷预警, 标题, 电网承载能力的, 为用电高峰, 对电网薄弱区域提前部署应急发电设备, 电网负荷精细化预测, 35℃, 科学依据, 95%","Present_Tmax, urban_heat_island, lat, lon",urban_heat_island 标签激活 + Present_Tmax≥35℃；预测高峰时段负荷≥电网承载能力的 95%,实施错峰用电政策，引导工业用户在高峰时段避峰生产，对电网薄弱区域提前部署应急发电设备
KNOW_1ddd92c3,纬度差异化热浪阈值,不同纬度区域的热浪判定阈值调整,低纬度区域（lat<25°N）居民热适应能力较强，高纬度区域（lat>35°N）居民热耐受度低，需按纬度调整热浪判定阈值,"纬度差异化热浪阈值, 低纬度区域重点保障户外作业人员, 应对措施, 37℃, 类别, 居民热耐受度低, 33℃, 高纬度区域全面开放降温场所, 预警指标, 连续, 中纬度, 居民热适应能力较强, 需按纬度调整热浪判定阈值, 不同纬度区域的热浪判定阈值调整, 高纬度区域, Present_Tmax, 高纬度, 标题, 低纬度, 低纬度区域, 加强对所有人群的防护宣传, 35℃, 科学依据","Present_Tmax, lat, lon",低纬度（lat<25°N）：Present_Tmax≥37℃连续≥3 天；中纬度（25°N≤lat≤35°N）：Present_Tmax≥35℃连续≥3 天；高纬度（lat>35°N）：Present_Tmax≥33℃连续≥3 天,低纬度区域重点保障户外作业人员；高纬度区域全面开放降温场所，加强对所有人群的防护宣传
KNOW_c135c3df,热浪后病虫害预警,高温热浪后的农作物病虫害防控,Next_Tmax≥35℃+LDAPS_RHmin≥40% 时，高温高湿环境利于病虫害滋生，热浪结束后 7-10 天易爆发病虫害，需提前预防,"热浪结束后及时喷施预防性农药, 应对措施, 40%, 高温热浪后的农作物病虫害防控, 类别, 热浪后病虫害预警, 需提前预防, LDAPS_RHmin, 预警指标, 天易爆发病虫害, 高温高湿环境利于病虫害滋生, 连续, 热浪结束后, 定位主要农作物产区, 监测病虫害发生动态, 通过, 标题, 35℃, 科学依据, 指导农户在热浪期间加强田间通风降湿, Next_Tmax","Next_Tmax, LDAPS_RHmin, lat, lon",Next_Tmax≥35℃连续≥2 天 + LDAPS_RHmin≥40%；通过 lat/lon 定位主要农作物产区,指导农户在热浪期间加强田间通风降湿，热浪结束后及时喷施预防性农药，监测病虫害发生动态
KNOW_c7f5d29d,临时安置点热浪防护,自然灾害临时安置点的热浪防护,临时安置点（帐篷、活动板房）隔热性差，Present_Tmax≥32℃时，室内温度可达 38℃以上，居住人员密度高，热应激风险集中,"降温风扇, 帐篷, 保障饮用水与防暑药品充足供应, 以上, 38℃, 活动板房, 应对措施, 搭建遮阳棚, 临时安置点, 类别, 32℃, 定位临时安置点位置, 热应激风险集中, 预警指标, 临时安置点热浪防护, Present_Tmax, 自然灾害临时安置点的热浪防护, 通过, 标题, 隔热性差, 居住人员密度高, 室内温度可达, 为安置点配备移动空调, 科学依据, 实行分时段通风","Present_Tmax, lat, lon",Present_Tmax≥32℃；通过 lat/lon 定位临时安置点位置,为安置点配备移动空调、降温风扇，搭建遮阳棚，实行分时段通风，保障饮用水与防暑药品充足供应
KNOW_7250071c,热浪臭氧污染协同,高温热浪与臭氧污染的复合预警,Present_Tmax≥35℃时，太阳辐射增强促进臭氧生成，臭氧浓度升高与高温叠加，将加重呼吸系统损伤，尤其对儿童与哮喘患者影响显著,"定位臭氧污染高值区, 臭氧浓度升高与高温叠加, 将加重呼吸系统损伤, 发布高温, 应对措施, 外出时佩戴防护口罩, 类别, 太阳辐射增强促进臭氧生成, 医疗机构增设呼吸系统专科门诊, 臭氧污染双重预警, 预警指标, 建议居民减少外出, 高温热浪与臭氧污染的复合预警, 尤其对儿童与哮喘患者影响显著, 区域臭氧浓度, Present_Tmax, 通过, 标题, 35℃, 科学依据, 热浪臭氧污染协同","Present_Tmax, lat, lon",Present_Tmax≥35℃+ 区域臭氧浓度≥160μg/m³；通过 lat/lon 定位臭氧污染高值区,发布高温 + 臭氧污染双重预警，建议居民减少外出，外出时佩戴防护口罩，医疗机构增设呼吸系统专科门诊
KNOW_4edad49d,风速梯度热浪缓解,不同风速梯度的热浪缓解效果评估,LDAPS_WS 在不同区间对高温的缓解作用存在差异，量化风速阈值可优化防护策略，避免单一风速标准的局限性,"风速梯度热浪缓解, LDAPS_WS, 应对措施, 避免单一风速标准的局限性, 类别, 不同风速梯度的热浪缓解效果评估, 强缓解时适当放宽户外作业时间限制, 预警指标, 在不同区间对高温的缓解作用存在差异, 中缓解时可维持常规户外作业间隔, Present_Tmax, 标题, 弱缓解, 35℃, 科学依据, 强缓解, 弱缓解时增加降温措施, 量化风速阈值可优化防护策略, 中缓解","Present_Tmax, LDAPS_WS",弱缓解：Present_Tmax≥35℃+1m/s<LDAPS_WS≤2m/s；中缓解：Present_Tmax≥35℃+2m/s<LDAPS_WS≤3m/s；强缓解：Present_Tmax≥35℃+LDAPS_WS>3m/s,弱缓解时增加降温措施；中缓解时可维持常规户外作业间隔；强缓解时适当放宽户外作业时间限制
KNOW_34514502,户外赛事热浪安全,户外赛事 / 活动的热浪安全阈值,Present_Tmax≥32℃+LDAPS_RHmin≤45% 时，长时间户外剧烈运动易引发群体性热射病，需设定赛事举办的安全红线,"34℃, 高风险时延期或取消赛事, 户外赛事, 需设定赛事举办的安全红线, 应对措施, 类别, 长时间户外剧烈运动易引发群体性热射病, 32℃, LDAPS_RHmin, 预警指标, 低风险时正常举办, 户外赛事热浪安全, Present_Tmax, 高风险, 增加补水点, 标题, 中风险时缩短赛事时长, 中风险, 45%, 科学依据, 活动的热浪安全阈值, 低风险","Present_Tmax, LDAPS_RHmin, lat, lon",低风险：Present_Tmax<32℃；中风险：32℃≤Present_Tmax<34℃；高风险：Present_Tmax≥34℃或 LDAPS_RHmin≤45%,低风险时正常举办；中风险时缩短赛事时长、增加补水点；高风险时延期或取消赛事
